id,name,birthdate,deathdate
4085,Jonathan Lynn,1943-04-03T00:00:00.000,
4086,Jonathan Mangum,1971-01-16T00:00:00.000,
4087,Jonathan Meyers,1977-07-27T00:00:00.000,
4088,Jonathan Morgan Heit,2000-07-16T00:00:00.000,
4089,Jonathan Mostow,1961-11-28T00:00:00.000,
4090,Jonathan Newman,1972-09-01T00:00:00.000,
4091,Jonathan Parker,,
4092,Jonathan Sadowski,1979-11-23T00:00:00.000,
4093,Jonathan Silverman,1966-08-05T00:00:00.000,
4094,Jonathan Teplitzky,,
4095,Jonathan Tucker,1982-05-31T00:00:00.000,
4096,Jonathan Wacks,,
4097,Jonathan Winters,1925-11-11T00:00:00.000,2013-04-11T00:00:00.000
4098,Jonathon Trent,1984-06-05T00:00:00.000,
4099,Jonny Weston,,
4100,Joon-ho Bong,1969-09-14T00:00:00.000,
4101,Jordan Bridges,1973-11-13T00:00:00.000,
4102,Jordan Carlos,,
4103,Jordan Lund,1957-05-07T00:00:00.000,
4104,Jordan Prentice,1973-01-30T00:00:00.000,
4105,Jordan Scovel,,
4106,Jordan Trovillion,,
4107,Jordana Brewster,1980-04-26T00:00:00.000,
4108,Jordana Spiro,1977-04-12T00:00:00.000,
4109,Jordi Moll�,1968-07-01T00:00:00.000,
4110,Jordi Vilasuso,1981-06-15T00:00:00.000,
4111,Jorge Blanco,,
4112,Jorge Diaz,,
4113,Jorge Gaggero,,
4114,Jorge Garcia,1973-04-28T00:00:00.000,
4115,Jorge Luis Moreno,1981-12-19T00:00:00.000,
4116,Jorge R. Guti�rrez,,
4117,Jorge Ram�rez Su�rez,,
4118,Jorge Salinas,1968-07-27T00:00:00.000,
4119,J�rgen Langhelle,1965-08-18T00:00:00.000,
4120,Jorja Fox,1968-07-07T00:00:00.000,
4121,Jorma Taccone,1977-03-19T00:00:00.000,
4122,Jos� Ferrer,1955-02-07T00:00:00.000,2017-01-19T00:00:00.000
4123,Jos� Luis Valenzuela,,
4124,Jos� Manuel Orozco Angulo,,
4125,Jose Pablo Cantillo,1979-03-30T00:00:00.000,
4126,Jos� Padilha,1967-08-01T00:00:00.000,
4127,Jos� Wilker,1946-08-20T00:00:00.000,2014-04-05T00:00:00.000
4128,Joseba Ugalde,,
4129,Josef Rusnak,,
4130,Joseph Campanella,1924-11-21T00:00:00.000,
4131,Joseph Cotten,1905-05-15T00:00:00.000,1994-02-06T00:00:00.000
4132,Joseph Cross,1986-05-28T00:00:00.000,
4133,Joseph Dorman,,
4134,Joseph Gilgun,1984-03-09T00:00:00.000,
4135,Joseph Gordon-Levitt,1981-02-17T00:00:00.000,
4136,Joseph Green,,
4137,Joseph Julian Soria,,
4138,Joseph Kahn,1972-10-12T00:00:00.000,
4139,Joseph Kaiser,1977-10-14T00:00:00.000,
4140,Joseph Kosinski,1974-05-03T00:00:00.000,
4141,Joseph L. Mankiewicz,1909-02-11T00:00:00.000,1993-02-05T00:00:00.000
4142,Joseph Mascolo,1929-03-13T00:00:00.000,2016-12-08T00:00:00.000
4143,Joseph Mawle,1974-03-21T00:00:00.000,
4144,Joseph Mazzella,1983-09-21T00:00:00.000,
4145,Joseph Pilato,1949-03-16T00:00:00.000,
4146,Joseph Ruben,1950-05-10T00:00:00.000,
4147,Joseph Sargent,1925-07-22T00:00:00.000,2014-12-22T00:00:00.000
4148,Joseph Sikora,,
4149,Joseph Zito,1946-05-14T00:00:00.000,
4150,Josh Boone,1979-04-05T00:00:00.000,
4151,Josh Charles,1971-09-15T00:00:00.000,
4152,Josh Gad,1981-02-23T00:00:00.000,
4153,Josh Gordon,,
4154,Josh Hamilton,1969-06-09T00:00:00.000,
4155,Josh Henderson,1981-10-25T00:00:00.000,
4156,Josh Hopkins,1970-09-12T00:00:00.000,
4157,Josh Hutcherson,1992-10-12T00:00:00.000,
4158,Josh Meyers,1976-01-08T00:00:00.000,
4159,Josh Pais,1964-06-21T00:00:00.000,
4160,Josh Robert Thompson,1975-03-11T00:00:00.000,
4161,Josh Schwartz,1976-08-06T00:00:00.000,
4162,Josh Segarra,1986-06-03T00:00:00.000,
4163,Josh Stamberg,1970-01-04T00:00:00.000,
4164,Josh Swanson,,
4165,Josh Trank,1984-02-19T00:00:00.000,
4166,Josh Wingate,,
4167,Josh Zuckerman,1985-04-01T00:00:00.000,
4168,Joshua Leonard,1975-06-17T00:00:00.000,
4169,Joshua Logan,1908-10-05T00:00:00.000,1988-07-12T00:00:00.000
4170,Joshua Marston,1968-08-13T00:00:00.000,
4171,Joshua Michael Stern,,
4172,Joshua Mikel,,
4173,Joshua Oppenheimer,1974-09-23T00:00:00.000,
4174,Joshua Ormond,,
4175,Joshua Ray Bell,1981-08-27T00:00:00.000,
4176,Joshua Seftel,1968-07-17T00:00:00.000,
4177,Joshua Tickell,,
4178,Josie Ho,1974-12-26T00:00:00.000,
4179,Josie Loren,1987-03-19T00:00:00.000,
4180,Joss Ackland,1928-02-29T00:00:00.000,
4181,Joss Whedon,1964-06-23T00:00:00.000,
4182,Jossara Jinaro,1973-05-25T00:00:00.000,
4183,Joy Bryant,1974-10-18T00:00:00.000,
4184,Joyce Randolph,1924-10-21T00:00:00.000,
4185,Joyce Van Patten,1934-03-09T00:00:00.000,
4186,Joyful Drake,1976-09-24T00:00:00.000,
4187,JR Bourne,1970-04-08T00:00:00.000,
4188,Jsu Garcia,1963-10-06T00:00:00.000,
4189,Juan Carlos Fresnadillo,1967-12-05T00:00:00.000,
4190,Juan Carlos Montoya,1974-10-14T00:00:00.000,
4191,Juan Fern�ndez,1900-12-27T00:00:00.000,1974-02-03T00:00:00.000
4192,Juan Jos� Campanella,1959-07-19T00:00:00.000,
4193,Juan Luis Galiardo,1940-03-02T00:00:00.000,2012-06-22T00:00:00.000
4194,Juan Riedinger,1981-02-27T00:00:00.000,
4195,Jud Tylor,1979-03-24T00:00:00.000,
4196,Judd Apatow,1967-12-06T00:00:00.000,
4197,Judd Hirsch,1935-03-15T00:00:00.000,
4198,Jude Ciccolella,,
4199,Judge Reinhold,1957-05-21T00:00:00.000,
4200,Judie Aronson,1964-06-07T00:00:00.000,
4201,Judith Anderson,1897-02-10T00:00:00.000,1992-01-03T00:00:00.000
4202,Judith Barsi,1978-06-06T00:00:00.000,1988-07-25T00:00:00.000
4203,Judith Chapman,1951-11-15T00:00:00.000,
4204,Judith Godr�che,1972-03-23T00:00:00.000,
4205,Judith Hill,,
4206,Judith O'Dea,1945-04-20T00:00:00.000,
4207,Judy Davis,1955-04-23T00:00:00.000,
4208,Judy Greer,1975-07-20T00:00:00.000,
4209,Judy Marte,1983-04-12T00:00:00.000,
4210,Jugal Hansraj,1972-07-26T00:00:00.000,
4211,Juhi Chawla,1967-11-13T00:00:00.000,
4212,Julene Renee,,
4213,Julia Duffy,1951-06-27T00:00:00.000,
4214,Julia Garner,,
4215,Julia Jentsch,1978-02-20T00:00:00.000,
4216,Julia Jones,1923-03-27T00:00:00.000,2015-10-09T00:00:00.000
4217,Julia Nickson,1958-09-11T00:00:00.000,
4218,Julia Ormond,1965-01-04T00:00:00.000,
4219,Julia Roberts,1967-10-28T00:00:00.000,
4220,Julia Sawalha,1968-09-09T00:00:00.000,
4221,Julia Taylor Ross,,
4222,Julian Fellowes,1949-08-17T00:00:00.000,
4223,Julian Gilbey,,
4224,Julian Glover,1935-03-27T00:00:00.000,
4225,Julian Jarrold,1960-05-15T00:00:00.000,
4226,Julian Kostov,,
4227,Julian Morris,1983-01-13T00:00:00.000,
4228,Julian Richings,1955-09-08T00:00:00.000,
4229,Julian Sands,1958-01-04T00:00:00.000,
4230,Julian Schnabel,1951-10-26T00:00:00.000,
4231,Juliane K�hler,1965-08-06T00:00:00.000,
4232,Julianna Guill,1987-07-07T00:00:00.000,
4233,Julianna Pitt,1984-05-17T00:00:00.000,
4234,Julianne Gabert,,
4235,Julie Adams,1926-10-17T00:00:00.000,
4236,Julie Anne Robinson,,
4237,Julie Benz,1972-05-01T00:00:00.000,
4238,Julie Christie,1941-04-14T00:00:00.000,
4239,Julie Davis,,
4240,Julie Dawn Cole,1957-10-26T00:00:00.000,
4241,Julie Engelbrecht,1984-06-30T00:00:00.000,
4242,Julie Gonzalo,1981-09-09T00:00:00.000,
4243,Julie Kavner,1950-09-07T00:00:00.000,
4244,Julie LeBreton,,
4245,Julie R. �lgaard,1981-09-29T00:00:00.000,
4246,Julie Taymor,1952-12-15T00:00:00.000,
4247,Julie Walters,1950-02-22T00:00:00.000,
4248,Julie-Marie Parmentier,1981-06-13T00:00:00.000,
4249,Julien Temple,1953-11-26T00:00:00.000,
4250,Juliet Stevenson,1956-10-30T00:00:00.000,
4251,Julio DePietro,,
4252,Jun Falkenstein,1969-05-07T00:00:00.000,
4253,Jun Kunimura,1955-11-16T00:00:00.000,
4254,June Carter Cash,1929-06-23T00:00:00.000,2003-05-15T00:00:00.000
4255,June Diane Raphael,1980-01-04T00:00:00.000,
4256,June Foray,1917-09-18T00:00:00.000,
4257,June Lockhart,1925-06-25T00:00:00.000,
4258,June Squibb,1929-11-06T00:00:00.000,
4259,Jung-jae Lee,1973-03-15T00:00:00.000,
4260,Jung-min Hwang,1970-09-01T00:00:00.000,
4261,Junix Inocian,1951-03-17T00:00:00.000,2015-06-13T00:00:00.000
4262,Juraj Jakubisko,1938-04-30T00:00:00.000,
4263,J�rgen Prochnow,1941-06-10T00:00:00.000,
4264,Jurnee Smollett-Bell,1986-10-01T00:00:00.000,
4265,Justin Baldoni,1984-01-24T00:00:00.000,
4266,Justin Chadwick,1968-12-01T00:00:00.000,
4267,Justin Chambers,1970-07-11T00:00:00.000,
4268,Justin Chon,1981-05-29T00:00:00.000,
4269,Justin Dillon,,
4270,Justin Edward Seale,,
4271,Justin Gordon,,
4272,Justin Hall,,
4273,Justin Kerrigan,,
4274,Justin Kirk,1969-05-28T00:00:00.000,
4275,Justin Lin,1973-10-11T00:00:00.000,
4276,Justin Molotnikov,,
4277,Justin Paul Miller,,
4278,Justin Pierce,1975-03-21T00:00:00.000,2000-07-10T00:00:00.000
4279,Justin Rice,,
4280,Justin Theroux,1971-08-10T00:00:00.000,
4281,Justin Thomas Ostensen,,
4282,Justin Timberlake,1981-01-31T00:00:00.000,
4283,Justin Tipping,,
4284,Justin Zackham,,
4285,Justine Waddell,1975-11-04T00:00:00.000,
4286,K. King,1948-12-21T00:00:00.000,
4287,Kabir Bedi,1946-01-16T00:00:00.000,
4288,Kabir Sadanand,,
4289,Kacey Clarke,1988-01-14T00:00:00.000,
4290,Kad Merad,1964-03-27T00:00:00.000,
4291,KaDee Strickland,1975-12-14T00:00:00.000,
4292,Kaige Chen,1952-08-12T00:00:00.000,
4293,Kaitlin Olson,1975-08-18T00:00:00.000,
4294,Kaitlyn Dever,1996-12-21T00:00:00.000,
4295,Kaiwi Lyman-Mersereau,,
4296,Kali Rocha,1971-12-05T00:00:00.000,
4297,Kalim Chandler,,
4298,Kamatari Fujiwara,1905-01-15T00:00:00.000,1985-12-21T00:00:00.000
4299,Kamel Krifa,,
4300,Kamil McFadden,,
4301,Kane Hodder,1955-04-08T00:00:00.000,
4302,Kang-ho Song,1967-01-17T00:00:00.000,
4303,Kar-Wai Wong,1956-07-17T00:00:00.000,
4304,Kara Hayward,1998-11-17T00:00:00.000,
4305,Karan Brar,1999-01-18T00:00:00.000,
4306,Karan Johar,1972-05-25T00:00:00.000,
4307,Karen Alexander,,
4308,Karen Allen,1951-10-05T00:00:00.000,
4309,Karen Mok,1970-06-02T00:00:00.000,
4310,Karen Moncrieff,1963-12-20T00:00:00.000,
4311,Karen Pittman,,
4312,Karen Young,,
4313,Karey Kirkpatrick,1964-12-14T00:00:00.000,
4314,Kari J. Kramer,,
4315,Kari Matchett,1970-03-25T00:00:00.000,
4316,Kari Skogland,,
4317,Kari Wuhrer,1967-04-28T00:00:00.000,
4318,Karim A�nouz,1966-01-17T00:00:00.000,
4319,Karin Dor,1938-02-22T00:00:00.000,
4320,Karin Konoval,,
4321,Karin Viard,1966-01-24T00:00:00.000,
4322,Karisma Kapoor,1974-06-25T00:00:00.000,
4323,Karl Collins,,
4324,Karl E. Landler,1980-03-28T00:00:00.000,
4325,Karl Johnson,1948-03-01T00:00:00.000,
4326,Karl Malden,1912-03-22T00:00:00.000,2009-07-01T00:00:00.000
4327,Karl Yune,1975-04-16T00:00:00.000,
4328,Karolina Wydra,1981-03-05T00:00:00.000,
4329,Karra Elejalde,1960-10-10T00:00:00.000,
4330,Karyn Kusama,1968-03-21T00:00:00.000,
4331,Kasi Lemmons,1961-02-24T00:00:00.000,
4332,Kasia Smutniak,1979-08-13T00:00:00.000,
4333,Kassie Wesley DePaiva,1961-03-21T00:00:00.000,
4334,Kat Coiro,,
4335,Kate Ashfield,1972-05-28T00:00:00.000,
4336,Kate Barker-Froyland,,
4337,Kate Burton,1957-09-10T00:00:00.000,
4338,Kate Capshaw,1953-11-03T00:00:00.000,
4339,Kate Connor,,
4340,Kate del Castillo,1972-10-23T00:00:00.000,
4341,Kate Dickie,,
4342,Kate Dollenmayer,,
4343,Kate Flannery,1964-06-10T00:00:00.000,
4344,Kate Graham,1989-09-05T00:00:00.000,
4345,Kate Higgins,1969-08-16T00:00:00.000,
4346,Kate Luyben,1972-06-30T00:00:00.000,
4347,Kate Maberly,1982-03-14T00:00:00.000,
4348,Kate Magowan,1975-06-01T00:00:00.000,
4349,Kate McKinnon,1984-01-06T00:00:00.000,
4350,Kate Upton,1992-06-10T00:00:00.000,
4351,Kate Walsh,1967-10-13T00:00:00.000,
4352,Kate Winslet,1975-10-05T00:00:00.000,
4353,Kath Soucie,1953-11-18T00:00:00.000,
4354,Katharina Sch�ttler,1979-10-20T00:00:00.000,
4355,Katharine Isabelle,1981-11-02T00:00:00.000,
4356,Katharine McPhee,1984-03-25T00:00:00.000,
4357,Katharine Ross,1940-01-29T00:00:00.000,
4358,Katherine Boecher,1981-08-10T00:00:00.000,
4359,Katherine Brooks,,
4360,Katherine Dieckmann,,
4361,Katherine Helmond,1929-07-05T00:00:00.000,
4362,Katherine LaNasa,1966-12-01T00:00:00.000,
4363,Katherine McNamara,1995-11-22T00:00:00.000,
4364,Katherine Parkinson,,
4365,Katherine Waterston,1980-03-03T00:00:00.000,
4366,Kathleen Freeman,,
4367,Kathleen Kinmont,1965-02-03T00:00:00.000,
4368,Kathleen Munroe,1982-04-09T00:00:00.000,
4369,Kathleen Quinlan,1954-11-19T00:00:00.000,
4370,Kathleen Robertson,1973-07-08T00:00:00.000,
4371,Kathleen Rose Perkins,1974-11-15T00:00:00.000,
4372,Kathleen Turner,1954-06-19T00:00:00.000,
4373,Kathleen Wilhoite,1964-06-29T00:00:00.000,
4374,Kathryn Bigelow,1951-11-27T00:00:00.000,
4375,Kathryn Erbe,1965-07-05T00:00:00.000,
4376,Kathryn Joosten,1939-12-20T00:00:00.000,2012-06-02T00:00:00.000
4377,Kathryn Morris,1969-01-28T00:00:00.000,
4378,Kathy Baker,1950-06-08T00:00:00.000,
4379,Kathy Griffin,1960-11-04T00:00:00.000,
4380,Kathy Uyen,1981-04-28T00:00:00.000,
4381,Kati Outinen,1961-08-17T00:00:00.000,
4382,Katia Winter,1983-10-13T00:00:00.000,
4383,Katie Aselton,1978-10-01T00:00:00.000,
4384,Katie Leclerc,1986-11-06T00:00:00.000,
4385,Katie Lowes,,
4386,Katja von Garnier,1966-12-15T00:00:00.000,
4387,Katrina Bowden,1988-09-19T00:00:00.000,
4388,Katrina Kaif,1984-07-16T00:00:00.000,
4389,Katrina Law,1985-09-30T00:00:00.000,
4390,Katsuhiro �tomo,1954-04-14T00:00:00.000,
4391,Katt Shea,,
4392,Katt Williams,,
4393,Katy Helvenston-Wettengal,,
4394,Katy Jurado,1924-01-16T00:00:00.000,2002-07-05T00:00:00.000
4395,Katy Mixon,1981-03-30T00:00:00.000,
4396,Kay Panabaker,1990-05-02T00:00:00.000,
4397,Kay Pollak,1938-05-21T00:00:00.000,
4398,Kayden Kross,1985-09-15T00:00:00.000,
4399,Kayla Ewell,1985-08-27T00:00:00.000,
4400,Kayla Jackson,,
4401,Kayla Raparelli,,
4402,Kaylee DeFer,1986-09-23T00:00:00.000,
4403,Kayvan Novak,1978-11-23T00:00:00.000,
4404,Kazunari Ninomiya,1983-06-17T00:00:00.000,
4405,Keanu Reeves,1964-09-02T00:00:00.000,
4406,Keegan Connor Tracy,1971-12-03T00:00:00.000,
4407,Keegan-Michael Key,1971-03-22T00:00:00.000,
4408,Keeley Hawes,1976-02-10T00:00:00.000,
4409,Keenan Tracey,,
4410,Keenan Wynn,1916-07-27T00:00:00.000,1986-10-14T00:00:00.000
4411,Keenen Ivory Wayans,1958-06-08T00:00:00.000,
4412,Keir Dullea,1936-05-30T00:00:00.000,
4413,Keir O'Donnell,1978-11-08T00:00:00.000,
4414,Keisha Castle-Hughes,1990-03-24T00:00:00.000,
4415,Keith Allen,1953-09-02T00:00:00.000,
4416,Keith Carradine,1949-08-08T00:00:00.000,
4417,Keith Gordon,1919-05-26T00:00:00.000,1989-09-10T00:00:00.000
4418,Keith Hudson,,
4419,Keith Parmer,,
4420,Keith Richards,1943-12-18T00:00:00.000,
4421,Kel O'Neill,,
4422,Kelen Coleman,,
4423,Kelli Barrett,1984-01-26T00:00:00.000,
4424,Kelli Garner,1984-04-11T00:00:00.000,
4425,Kelli Williams,1970-06-08T00:00:00.000,
4426,Kellie Martin,1975-10-16T00:00:00.000,
4427,Kelly Asbury,1960-01-15T00:00:00.000,
4428,Kelly Brook,1979-11-23T00:00:00.000,
4429,Kelly Carlson,1976-02-17T00:00:00.000,
4430,Kelly Clarkson,1982-04-24T00:00:00.000,
4431,Kelly Jo Minter,1966-09-24T00:00:00.000,
4432,Kelly Keaton,,
4433,Kelly LeBrock,1960-03-24T00:00:00.000,
4434,Kelly Lin,1975-10-29T00:00:00.000,
4435,Kelly Lynch,1959-01-31T00:00:00.000,
4436,Kelly Macdonald,1976-02-23T00:00:00.000,
4437,Kelly Makin,,
4438,Kelly Paterniti,1987-12-06T00:00:00.000,
4439,Kelly Preston,1962-10-13T00:00:00.000,
4440,Kelly Reichardt,,
4441,Kelly Reno,1966-06-19T00:00:00.000,
4442,Kelly Ripa,1970-10-02T00:00:00.000,
4443,Kelly Rowan,1965-10-26T00:00:00.000,
4444,Kelly Rutherford,1968-11-06T00:00:00.000,
4445,Kelsey Grammer,1955-02-21T00:00:00.000,
4446,Kelvin Han Yee,,
4447,Ken Annakin,1914-08-10T00:00:00.000,2009-04-22T00:00:00.000
4448,Ken Arnold,,
4449,Ken Bevel,,
4450,Ken Burns,1953-07-29T00:00:00.000,
4451,Ken Davis,,
4452,Ken Davitian,1953-06-19T00:00:00.000,
4453,Ken Del Conte,1941-11-02T00:00:00.000,
4454,Ken Foree,1948-02-29T00:00:00.000,
4455,Ken Howard,1944-03-28T00:00:00.000,2016-03-23T00:00:00.000
4456,Ken Kwapis,1957-08-17T00:00:00.000,
4457,Ken Leung,1970-01-21T00:00:00.000,
4458,Ken Loach,1936-06-17T00:00:00.000,
4459,Ken Marino,1968-12-19T00:00:00.000,
4460,Ken Roht,,
4461,Ken Sansom,1927-04-02T00:00:00.000,2012-10-08T00:00:00.000
4462,Ken Scott,,
4463,Ken Shapiro,,
4464,Ken Siu,,
4465,Ken Takakura,1931-02-16T00:00:00.000,2014-11-10T00:00:00.000
4466,Kenan Thompson,1978-05-10T00:00:00.000,
4467,Kendrick Cross,1971-05-01T00:00:00.000,
4468,Kendyl Joi,,
4469,Kenneth Branagh,1960-12-10T00:00:00.000,
4470,Kenneth Colley,1937-12-07T00:00:00.000,
4471,Kenneth Cranham,1944-12-12T00:00:00.000,
4472,Kenneth Johnson,,
4473,Kenneth Lonergan,1962-10-16T00:00:00.000,
4474,Kenneth Mars,1935-04-04T00:00:00.000,2011-02-12T00:00:00.000
4475,Kenneth Mitchell,,
4476,Kenneth Nkosi,,
4477,Kenneth Tobey,1917-03-23T00:00:00.000,2002-12-22T00:00:00.000
4478,Kenneth Williams,1966-11-22T00:00:00.000,
4479,Kenny Baker,1969-07-30T00:00:00.000,
4480,Kenny Johnston,1968-08-07T00:00:00.000,
4481,Kenny Ortega,1950-04-18T00:00:00.000,
4482,Kent Alterman,,
4483,Kent McCord,1942-09-26T00:00:00.000,
4484,Keram Malicki-S�nchez,1974-05-14T00:00:00.000,
4485,Keri Lynn Pratt,1978-09-23T00:00:00.000,
4486,Keri Maletto,1977-12-26T00:00:00.000,
4487,Kerr Smith,1972-03-09T00:00:00.000,
4488,Kerry Bish�,,
4489,Kerry Cahill,,
4490,Kerry Condon,1983-01-04T00:00:00.000,
4491,Kerry Conran,1964-11-06T00:00:00.000,
4492,Keshia Knight Pulliam,1979-04-09T00:00:00.000,
4493,Kesun Loder,1993-05-22T00:00:00.000,
4494,Kevin Alejandro,1976-04-07T00:00:00.000,
4495,Kevin Allen,1962-09-15T00:00:00.000,
4496,Kevin Bray,1965-08-19T00:00:00.000,
4497,Kevin Breznahan,1968-11-24T00:00:00.000,
4498,Kevin Brodie,1952-05-31T00:00:00.000,
4499,Kevin Brown,,
4500,Kevin Carraway,,
4501,Kevin Chamberlin,1963-11-25T00:00:00.000,
4502,Kevin Clash,1960-09-17T00:00:00.000,
4503,Kevin Connolly,1974-03-05T00:00:00.000,
4504,Kevin Corrigan,1969-03-27T00:00:00.000,
4505,Kevin Costner,1955-01-18T00:00:00.000,
4506,Kevin Dillon,1965-08-19T00:00:00.000,
4507,Kevin Donovan,,
4508,Kevin Dunn,1956-08-24T00:00:00.000,
4509,Kevin G. Schmidt,1988-08-16T00:00:00.000,
4510,Kevin Gage,1959-05-26T00:00:00.000,
4511,Kevin Greutert,1965-03-31T00:00:00.000,
4512,Kevin Grevioux,1962-09-09T00:00:00.000,
4513,Kevin Hamedani,1982-12-25T00:00:00.000,
4514,Kevin Hooks,1958-09-19T00:00:00.000,
4515,Kevin Howarth,,
4516,Kevin J. O'Connor,,
4517,Kevin Jordan,,
4518,Kevin Leslie,,
4519,Kevin Lima,,
4520,Kevin Macdonald,1961-05-16T00:00:00.000,
4521,Kevin McCarthy,,
4522,Kevin McGowan,,
4523,Kevin McHale,1988-06-14T00:00:00.000,
4524,Kevin McNally,1956-04-27T00:00:00.000,
4525,Kevin Michael Richardson,1964-10-25T00:00:00.000,
4526,Kevin Munroe,,
4527,Kevin Nash,1959-07-09T00:00:00.000,
4528,Kevin Nealon,1953-11-18T00:00:00.000,
4529,Kevin P. Farley,1965-06-08T00:00:00.000,
4530,Kevin Peter Hall,1955-05-09T00:00:00.000,1991-04-10T00:00:00.000
4531,Kevin Pollak,1957-10-30T00:00:00.000,
4532,Kevin Rahm,1971-01-07T00:00:00.000,
4533,Kevin Rankin,1976-04-18T00:00:00.000,
4534,Kevin Reynolds,1952-01-17T00:00:00.000,
4535,Kevin Rodney Sullivan,1958-08-03T00:00:00.000,
4536,Kevin Scott Richardson,1971-10-03T00:00:00.000,
4537,Kevin Smith,1970-08-02T00:00:00.000,
4538,Kevin Spacey,1959-07-26T00:00:00.000,
4539,Kevin Sussman,1970-12-04T00:00:00.000,
4540,Kevin Tancharoen,1984-04-23T00:00:00.000,
4541,Kevin Tenney,1955-10-16T00:00:00.000,
4542,Kevin Tighe,1944-08-13T00:00:00.000,
4543,Kevin Williamson,1965-03-14T00:00:00.000,
4544,Kevin Zegers,1984-09-19T00:00:00.000,
4545,Kevork Malikyan,1943-06-02T00:00:00.000,
4546,Khaira Arby,,
4547,Khalid Abdalla,1980-12-30T00:00:00.000,
4548,Khalid Mohamed,,
4549,Khalil Sullins,,
4550,Khamani Griffin,1998-08-01T00:00:00.000,
4551,Khandi Alexander,1957-09-04T00:00:00.000,
4552,Khulan Chuluun,1985-05-30T00:00:00.000,
4553,Khyentse Norbu,,
4554,Ki Hong Lee,,
4555,Kick Gurry,1978-05-25T00:00:00.000,
4556,Kief Davidson,1970-05-12T00:00:00.000,
4557,Kieran Culkin,1982-09-30T00:00:00.000,
4558,Kiernan Shipka,1999-11-10T00:00:00.000,
4559,Kiersey Clemons,1993-12-17T00:00:00.000,
4560,Kieu Chinh,,
4561,Kim Chan,1917-12-28T00:00:00.000,2008-10-05T00:00:00.000
4562,Kim Darby,1947-07-08T00:00:00.000,
4563,Kim De Angelo,,
4564,Kim Delaney,1961-11-29T00:00:00.000,
4565,Kim Dickens,1965-06-18T00:00:00.000,
4566,Kim Director,1974-11-13T00:00:00.000,
4567,Kim Farrant,,
4568,Kim Hunter,1947-06-15T00:00:00.000,
4569,Kim Ly,,
4570,Kim Nguyen,,
4571,Kim Shaw,,
4572,Kim Thomson,,
4573,Kim-Marie Woodhouse,,
4574,Kimberley Crossman,1990-05-24T00:00:00.000,
4575,Kimberly Beck,1956-01-09T00:00:00.000,
4576,Kimberly Elise,1967-04-17T00:00:00.000,
4577,Kimberly J. Brown,,
4578,Kimberly Peirce,1967-09-08T00:00:00.000,
4579,Kimberly Williams-Paisley,1971-09-14T00:00:00.000,
4580,Kimble Rendall,,
4581,King Vidor,1894-02-08T00:00:00.000,1982-11-01T00:00:00.000
4582,Kinka Usher,,
4583,Kiowa Gordon,1990-03-25T00:00:00.000,
4584,Kip Pardue,1975-09-23T00:00:00.000,
4585,Kira McLean,,
4586,Kiran Shah,1956-09-28T00:00:00.000,
4587,Kirby Bliss Blanton,1990-10-24T00:00:00.000,
4588,Kirby Heyborne,,
4589,Kirk Baltz,1959-09-14T00:00:00.000,
4590,Kirk Cameron,1970-10-12T00:00:00.000,
4591,Kirk De Micco,,
4592,Kirk Fox,1969-08-26T00:00:00.000,
4593,Kirk Jones,1964-10-31T00:00:00.000,
4594,Kirk Loudon,,
4595,Kirk Wong,,
4596,Kirpatrick Thomas,,
4597,Kirsten Collins,,
4598,Kirsten Day,,
4599,Kirsten Dunst,1982-04-30T00:00:00.000,
4600,Kirsten Sheridan,1976-07-14T00:00:00.000,
4601,Kirstie Alley,1951-01-12T00:00:00.000,
4602,Kiyoshi Kurosawa,1955-07-19T00:00:00.000,
4603,Kjell Nilsson,,
4604,Klaus Kinski,1926-10-18T00:00:00.000,1991-11-23T00:00:00.000
4605,Klaus Maria Brandauer,1943-06-22T00:00:00.000,
4606,Klaus Menzel,,
4607,Kodi Smit-McPhee,1996-06-13T00:00:00.000,
4608,K�ji Yakusho,1956-01-01T00:00:00.000,
4609,Konstantin Khabenskiy,1972-01-11T00:00:00.000,
4610,Konstantin Lavronenko,1961-04-20T00:00:00.000,
4611,Kostja Ullmann,1984-05-30T00:00:00.000,
4612,Kris Isacsson,,
4613,Kris Marshall,1973-04-01T00:00:00.000,
4614,Kris Sommerville,,
4615,Krista Allen,1971-04-05T00:00:00.000,
4616,Kristen Cloke,1968-09-02T00:00:00.000,
4617,Kristen Connolly,1980-07-12T00:00:00.000,
4618,Kristen Johnston,1967-09-20T00:00:00.000,
4619,Kristen Quintrall,,
4620,Kristen Seavey,,
4621,Kristen Stewart,1990-04-09T00:00:00.000,
4622,Kristi Clainos,1974-07-12T00:00:00.000,
4623,Kristian Bruun,,
4624,Kristin Booth,1974-08-28T00:00:00.000,
4625,Kristin Davis,1965-02-23T00:00:00.000,
4626,Kristin Lehman,1972-05-03T00:00:00.000,
4627,Kristin Rizzo,,
4628,Kristin Scott Thomas,1960-05-24T00:00:00.000,
4629,Kristoffer Polaha,1977-02-18T00:00:00.000,
4630,Kristy Swanson,1969-12-19T00:00:00.000,
4631,Kriv Stenders,,
4632,Krysta Rodriguez,1984-07-23T00:00:00.000,
4633,Kumar Gaurav,1960-07-11T00:00:00.000,
4634,Kundan Shah,1947-10-19T00:00:00.000,
4635,Kunihiko Yuyama,1952-10-15T00:00:00.000,
4636,Kuno Becker,1978-01-14T00:00:00.000,
